"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1115",-0.504133616804936,-0.802640878896018,-0.82526261018521,"weibull",2,100
"1116",-0.201264560847832,-0.262256429807115,-0.232397732657289,"weibull",2,100
"1117",-0.721284284248969,-0.939361858185678,-0.931289927168206,"weibull",2,100
"1118",-0.359706123460656,-0.538171720958757,-0.554042929679233,"weibull",2,100
"1119",-0.356218356061813,-0.444345467342155,-0.421942001987804,"weibull",2,100
"1120",-0.199705179919383,-0.329179609987465,-0.329513269696878,"weibull",2,100
"1121",-0.434330675500928,-0.716649297246951,-0.775569874349767,"weibull",2,100
"1122",-0.364847882339412,-0.488252215462045,-0.491311543058418,"weibull",2,100
"1123",-0.323050070236141,-0.462181361281713,-0.463621129229145,"weibull",2,100
"1124",-0.381701151928471,-0.532039183786412,-0.517743542918324,"weibull",2,100
"1125",-0.194785682152663,-0.305148426421288,-0.323046403043101,"weibull",2,100
"1126",-0.0333804496458142,-0.0447651124611328,-0.0350144721950527,"weibull",2,100
"1127",-0.324773440015357,-0.507917954410633,-0.464690070417603,"weibull",2,100
"1128",-0.283970762446219,-0.408630405348009,-0.405717565998888,"weibull",2,100
"1129",-0.51004290747468,-0.67920735026186,-0.676595496236515,"weibull",2,100
"1130",-0.212035067252281,-0.306095181004748,-0.311211360827185,"weibull",2,100
"1131",-0.455814501913797,-0.643970745063676,-0.678872817111951,"weibull",2,100
"1132",-0.134366814157361,-0.209221904412185,-0.223198403641018,"weibull",2,100
"1133",-0.360275654492962,-0.546727923957046,-0.548042107048063,"weibull",2,100
"1134",0.00601306029286191,0.0350095220606235,0.0467144430959828,"weibull",2,100
"1135",-0.192681609404477,-0.341054733241733,-0.325832668409409,"weibull",2,100
"1136",-0.355663826713006,-0.514260488974901,-0.510405517614018,"weibull",2,100
"1137",-0.334735711738121,-0.532390762429287,-0.547608958321931,"weibull",2,100
"1138",0.0152125088988812,-0.000270469589584143,-0.0032938902339063,"weibull",2,100
"1139",-0.533428959075565,-0.760977510109669,-0.77476651145501,"weibull",2,100
"1140",-0.291320066817735,-0.384155974414871,-0.371687265439159,"weibull",2,100
"1141",-0.379291292240735,-0.518560854746883,-0.529646878263549,"weibull",2,100
"1142",-0.531512162679045,-0.740445684071802,-0.728084168796095,"weibull",2,100
"1143",-0.525232565536276,-0.841724507927177,-0.849364016069559,"weibull",2,100
"1144",-0.462892819789585,-0.610120877343674,-0.599723722334486,"weibull",2,100
"1145",-0.108884182686924,-0.13233606159522,-0.134381262709436,"weibull",2,100
"1146",-0.39496801175551,-0.579403700723196,-0.546648206570785,"weibull",2,100
"1147",0.0492743812708933,0.0622172624525448,0.0806117349767258,"weibull",2,100
"1148",-0.28261573102607,-0.471443834191005,-0.472414484320594,"weibull",2,100
"1149",-0.383265798051555,-0.562017853667175,-0.532937873660329,"weibull",2,100
"1150",-0.43871898686481,-0.607296179568863,-0.571936168689681,"weibull",2,100
"1151",-0.390301868572776,-0.544346863759427,-0.555879452835816,"weibull",2,100
"1152",-0.339636336505968,-0.445862140019562,-0.420490075747916,"weibull",2,100
"1153",-0.163045992946059,-0.284034886693458,-0.291166166602954,"weibull",2,100
"1154",-0.20406431169222,-0.302248622493971,-0.29617234553951,"weibull",2,100
"1155",-0.218918481752802,-0.275029980552266,-0.278272658837074,"weibull",2,100
"1156",-0.261342043233292,-0.381554289032816,-0.372624243040419,"weibull",2,100
"1157",-0.255862723091482,-0.424760992382046,-0.419838683139726,"weibull",2,100
"1158",-0.576248166955431,-0.891629133576704,-0.849571291256443,"weibull",2,100
"1159",-0.284794054206393,-0.479817973573352,-0.460728490804887,"weibull",2,100
"1160",-0.492199924713405,-0.701498192406949,-0.698073722960094,"weibull",2,100
"1161",-0.433734677736108,-0.556928540553,-0.552088996231787,"weibull",2,100
"1162",-0.198477538510218,-0.313977194575717,-0.285388677861147,"weibull",2,100
"1163",-0.253396049990895,-0.426685171879677,-0.40490544879881,"weibull",2,100
"1164",-0.149990749942429,-0.196440020380214,-0.191636925314639,"weibull",2,100
"1165",-0.401261480789096,-0.584890678211722,-0.576969627325402,"weibull",2,100
"1166",-0.147080771246134,-0.204443639373744,-0.198816456996,"weibull",2,100
"1167",-0.645853848901459,-0.861541577782897,-0.838147206103191,"weibull",2,100
"1168",-0.0851097049274885,-0.166338857103386,-0.15747263106534,"weibull",2,100
"1169",-0.459875070075609,-0.669309215705309,-0.644890438354758,"weibull",2,100
"1170",-0.463800441078104,-0.641509568121599,-0.631824779890626,"weibull",2,100
"1171",-0.542509226877612,-0.75875252191722,-0.809722610226191,"weibull",2,100
"1172",-0.543636169182621,-0.80950893542947,-0.776817836251587,"weibull",2,100
"1173",-0.195561539143767,-0.250232239868784,-0.245966357251801,"weibull",2,100
"1174",-0.750341063120868,-0.921731547648028,-0.942126093074227,"weibull",2,100
"1175",-0.533853596702621,-0.869260707404256,-0.911802864997541,"weibull",2,100
"1176",-0.741534286281551,-1.01774962123986,-1.05036572970216,"weibull",2,100
"1177",-0.347264200337543,-0.479712736830012,-0.511169685968341,"weibull",2,100
"1178",-0.19097002820751,-0.239768305626133,-0.248434816720564,"weibull",2,100
